"Contributor","Total","PACs","Individuals","Senator"
"Barnes & Thornburg","$9900","$1000","$8900","Jim Baird"
"Gaylor Electric","$8300","$0","$8300","Jim Baird"
"American Israel Public Affairs Cmte","$7900","$7900","$0","Jim Baird"
"Ice Miller LLP","$6250","$5000","$1250","Jim Baird"
"American Bankers Assn","$6000","$6000","$0","Jim Baird"
"AT&T Inc","$6000","$6000","$0","Jim Baird"
"National Assn of Realtors","$6000","$6000","$0","Jim Baird"
"Nicoson Farms","$5900","$0","$5900","Jim Baird"
"Shelly & Sands","$17400","$0","$17400","Troy Balderson"
"Nationwide","$16850","$10000","$6850","Troy Balderson"
"Blue Cross/Blue Shield","$13000","$13000","$0","Troy Balderson"
"Champion Companies","$11600","$0","$11600","Troy Balderson"
"Fisher Investments","$11600","$0","$11600","Troy Balderson"
"Marcus Foundation","$11600","$0","$11600","Troy Balderson"
"Western National Group","$11600","$0","$11600","Troy Balderson"
"Abbott Laboratories","$10500","$10000","$500","Troy Balderson"
"American Bankers Assn","$10500","$10500","$0","Troy Balderson"
"Huntington Bancshares","$10300","$10000","$300","Troy Balderson"
"Blackstone Group","$20300","$0","$20300","Jim Banks"
"American Israel Public Affairs Cmte","$19800","$7900","$11900","Jim Banks"
"MacAndrews & Forbes","$18550","$10000","$8550","Jim Banks"
"Deister Machine Co","$11600","$0","$11600","Jim Banks"
"Glenbrook Dodge Chrysler Jeep","$11600","$0","$11600","Jim Banks"
"Uline Inc","$11600","$0","$11600","Jim Banks"
"Boeing Co","$11000","$9000","$2000","Jim Banks"
"Ultra Electronics","$10750","$10000","$750","Jim Banks"
"Kirkland & Ellis","$10500","$0","$10500","Jim Banks"
"American Bankers Assn","$10250","$10000","$250","Jim Banks"
"K Rowe Investments","$5800","$0","$5800","Cindy Banyai"
"Zimmer Biomet","$2900","$0","$2900","Cindy Banyai"
"No Dem Left Behind PAC","$2500","$2500","$0","Cindy Banyai"
"Women United for Florida Families","$2005","$2005","$0","Cindy Banyai"
"American Federation of School Administrators","$1700","$0","$1700","Cindy Banyai"
"Center for Sight (New York)","$1025","$0","$1025","Cindy Banyai"
"Cumberland Advisors","$1000","$0","$1000","Cindy Banyai"
"Dewberry","$1000","$0","$1000","Cindy Banyai"
"Everytown for Gun Safety","$1000","$1000","$0","Cindy Banyai"
"Edison Ford Winter Estates","$700","$0","$700","Cindy Banyai"
"Weber State University","$300","$0","$300","Evan Barlow"
"Jones Day","$2800","$0","$2800","John Barnes"
"Ready Rock Trucking","$500","$0","$500","John Barnes"
"Harvard University","$250","$0","$250","John Barnes"
"Landscapers Supply of Greenville","$25000","$0","$25000","Kathy Barnette"
"Construction Dynamics","$11600","$0","$11600","Kathy Barnette"
"Rose Ellis LLC","$9300","$0","$9300","Kathy Barnette"
"H&K Group","$9200","$0","$9200","Kathy Barnette"
"Creative Solutions In Healthcare","$8700","$0","$8700","Kathy Barnette"
"Martins Famous Pastry Shoppe","$8700","$0","$8700","Kathy Barnette"
"Newtown Athletic Club","$8700","$0","$8700","Kathy Barnette"
"Rti Insurance Service","$8700","$0","$8700","Kathy Barnette"
"Icona","$8400","$0","$8400","Kathy Barnette"
"Dunlap & Kyle","$7000","$0","$7000","Kathy Barnette"
"Apollo Global Management","$29402","$5400","$24002","Andy Barr"
"Rock Holdings","$22000","$10000","$12000","Andy Barr"
"B Riley Financial","$20300","$0","$20300","Andy Barr"
"Blackstone Group","$20300","$0","$20300","Andy Barr"
"Alliance Resource Partners","$19900","$0","$19900","Andy Barr"
"Mt Brilliant Farm","$17400","$0","$17400","Andy Barr"
"Forcht Group of Kentucky","$16600","$0","$16600","Andy Barr"
"Goldman Sachs","$16000","$6000","$10000","Andy Barr"
"Northwestern Mutual","$15713","$10000","$5713","Andy Barr"
"Greer Companies","$14400","$0","$14400","Andy Barr"
"Syfan Logistics","$12500","$0","$12500","Timothy Barr"
"State of Georgia","$9700","$0","$9700","Timothy Barr"
"Kitchen & Bath Design Group","$7050","$0","$7050","Timothy Barr"
"Reach Technologies","$6300","$0","$6300","Timothy Barr"
"Corcoran Partners","$5800","$0","$5800","Timothy Barr"
"Dpr Construction","$5800","$0","$5800","Timothy Barr"
"Glasstech Services","$5800","$0","$5800","Timothy Barr"
"Juzyk Construction","$5800","$0","$5800","Timothy Barr"
"Prime Retail Services","$5800","$0","$5800","Timothy Barr"
"Progressive Realty LLC","$5800","$0","$5800","Timothy Barr"
"American Israel Public Affairs Cmte","$38350","$2100","$36250","Nanette Barragan"
"Buchanan, Ingersoll & Rooney","$11600","$0","$11600","Nanette Barragan"
"American Crystal Sugar","$10000","$10000","$0","Nanette Barragan"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Nanette Barragan"
"Carpenters & Joiners Union","$10000","$10000","$0","Nanette Barragan"
"Edison International","$10000","$10000","$0","Nanette Barragan"
"Honeywell International","$10000","$10000","$0","Nanette Barragan"
"Machinists/Aerospace Workers Union","$10000","$10000","$0","Nanette Barragan"
"National Union of Healthcare Workers","$10000","$10000","$0","Nanette Barragan"
"Operating Engineers Union","$10000","$10000","$0","Nanette Barragan"
"Penn Entertainment","$5000","$5000","$0","Jeff Bartos"
"Duane Morris LLP","$4000","$4000","$0","Jeff Bartos"
"Essential Utilities Inc","$2000","$2000","$0","Jeff Bartos"
"Govern PAC","$1000","$1000","$0","Jeff Bartos"
"H&R Block","$5775","$0","$5775","Gary Barve"
"J Street","$10700","$1500","$9200","Karen Bass"
"Comcast Corp","$8300","$2500","$5800","Karen Bass"
"Bad Robot Productions","$6800","$0","$6800","Karen Bass"
"University of California","$5962","$0","$5962","Karen Bass"
"Amblin Partners","$5800","$0","$5800","Karen Bass"
"AMD Homes","$5800","$0","$5800","Karen Bass"
"Buchanan, Ingersoll & Rooney","$5800","$0","$5800","Karen Bass"
"Children's Research & Education Institute","$5800","$0","$5800","Karen Bass"
"Cordoba Corp","$5800","$0","$5800","Karen Bass"
"Democracy Engine","$5800","$0","$5800","Karen Bass"
"University of Wisconsin","$8867","$0","$8867","Gillian Battino"
"Marshfield Clinic","$8683","$0","$8683","Gillian Battino"
"ThedaCare Health System","$3050","$0","$3050","Gillian Battino"
"Uw Health","$3000","$0","$3000","Gillian Battino"
"King Co","$2900","$0","$2900","Gillian Battino"
"Marsh Field Medical System","$2900","$0","$2900","Gillian Battino"
"Mod Gen","$2900","$0","$2900","Gillian Battino"
"Central Wisconsin Anesthesiology","$2500","$0","$2500","Gillian Battino"
"California Public Employees' Retirement System","$2200","$0","$2200","Gillian Battino"
"Mayo Clinic Health System","$2000","$0","$2000","Gillian Battino"
"University of Pennsylvania Health System","$11950","$0","$11950","Kevin Baumlin"
"Goldman Sachs","$5800","$0","$5800","Kevin Baumlin"
"JPMorgan Chase & Co","$5800","$0","$5800","Kevin Baumlin"
"Mount Sinai Health System","$5150","$0","$5150","Kevin Baumlin"
"Conklin Enterprises","$2900","$0","$2900","Kevin Baumlin"
"Intelligent Communication Systems","$2900","$0","$2900","Kevin Baumlin"
"Ubs","$2800","$0","$2800","Kevin Baumlin"
"American College of Emergency Physicians","$2500","$2500","$0","Kevin Baumlin"
"Royal College Of Surgeons England","$2500","$0","$2500","Kevin Baumlin"
"Thanks","$2500","$0","$2500","Kevin Baumlin"
"University of North Carolina","$13296","$0","$13296","Jasmine Beach-Ferrara"
"DNC PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"Equality PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"When Democrats Turn Out PAC","$10000","$10000","$0","Jasmine Beach-Ferrara"
"Duke University","$7896","$0","$7896","Jasmine Beach-Ferrara"
"L PAC","$6000","$6000","$0","Jasmine Beach-Ferrara"
"Sheet Metal, Air, Rail & Transportation Union","$6000","$6000","$0","Jasmine Beach-Ferrara"
"State of North Carolina","$5818","$0","$5818","Jasmine Beach-Ferrara"
"Dee'S Crafts","$5800","$0","$5800","Jasmine Beach-Ferrara"
"Equality Project PAC","$5800","$5800","$0","Jasmine Beach-Ferrara"
"Teamsters Union","$5000","$5000","$0","Lydia Bean"
"United Food & Commercial Workers Union","$5000","$5000","$0","Lydia Bean"
"Parten Operating","$3000","$0","$3000","Lydia Bean"
"Reliant","$3000","$0","$3000","Lydia Bean"
"American Federation of State/Cnty/Munic Employees","$2900","$0","$2900","Lydia Bean"
"Consults In Medical Oncology & Hemot","$2900","$0","$2900","Lydia Bean"
"Ghg Corp","$2900","$0","$2900","Lydia Bean"
"Group Services Inc","$2900","$0","$2900","Lydia Bean"
"Keystone Inc","$2900","$0","$2900","Lydia Bean"
"Prism Communications","$2900","$0","$2900","Lydia Bean"
"EMILY's List","$290867","$10000","$280867","Cheri Beasley"
"University of North Carolina","$181394","$0","$181394","Cheri Beasley"
"Duke University","$157235","$0","$157235","Cheri Beasley"
"Democracy Engine","$148630","$0","$148630","Cheri Beasley"
"J Street","$79657","$0","$79657","Cheri Beasley"
"Alphabet Inc","$74289","$0","$74289","Cheri Beasley"
"University of California","$66476","$0","$66476","Cheri Beasley"
"McGuireWoods LLP","$55159","$1000","$54159","Cheri Beasley"
"Wilmerhale Llp","$49650","$0","$49650","Cheri Beasley"
"State of North Carolina","$41471","$0","$41471","Cheri Beasley"
"Sidley Austin LLP","$3650","$0","$3650","John Beatty"
"US Government","$2900","$0","$2900","John Beatty"
"Bowman Consulting Group","$2000","$0","$2000","John Beatty"
"Roblox Corp","$1800","$0","$1800","John Beatty"
"Catholic Distance University","$1500","$0","$1500","John Beatty"
"Heights School","$1500","$0","$1500","John Beatty"
"Breed Household","$1250","$0","$1250","John Beatty"
"McGuireWoods LLP","$1250","$0","$1250","John Beatty"
"Catholic University","$1000","$0","$1000","John Beatty"
"Continental Pllc","$1000","$0","$1000","John Beatty"
"KKR & Co","$66200","$0","$66200","Joyce Beatty"
"Blackstone Group","$29000","$0","$29000","Joyce Beatty"
"Rock Holdings","$26000","$7500","$18500","Joyce Beatty"
"New York Life Insurance","$24300","$7500","$16800","Joyce Beatty"
"Discover Financial Services","$19000","$10000","$9000","Joyce Beatty"
"Apollo Global Management","$17700","$0","$17700","Joyce Beatty"
"Huntington Bancshares","$16000","$12500","$3500","Joyce Beatty"
"Nationwide","$13900","$10000","$3900","Joyce Beatty"
"Mindset","$12200","$0","$12200","Joyce Beatty"
"PNC Financial Services","$12000","$12000","$0","Joyce Beatty"
"Station Casinos","$20900","$0","$20900","April Becker"
"Meruelo Group","$20000","$0","$20000","April Becker"
"Equestrianlife","$14500","$0","$14500","April Becker"
"Reliance Telephone","$14500","$0","$14500","April Becker"
"Berkshire Hathaway","$13600","$0","$13600","April Becker"
"Maggie's List","$11950","$6000","$5950","April Becker"
"Fisher Investments","$11600","$0","$11600","April Becker"
"Innovative Pain Care Center","$11600","$0","$11600","April Becker"
"Marnell Companies","$11600","$0","$11600","April Becker"
"Valmore Gp","$11600","$0","$11600","April Becker"
"Iverson Strategy & Media","$2900","$0","$2900","Rodney Jason Beebe"
"Jm Browning Logging","$2500","$0","$2500","Rodney Jason Beebe"
"JM Browning Trucking","$2500","$0","$2500","Rodney Jason Beebe"
"Central Oregon Ranch Supply","$500","$0","$500","Rodney Jason Beebe"
"Oregon Women for Agriculture","$250","$0","$250","Rodney Jason Beebe"
"Bradley Arant Boult & Cummings","$500","$0","$500","Doug Bell"
"Avm","$5125","$0","$5125","Jarome Bell"
"Kim Klacik for Congress","$4000","$4000","$0","Jarome Bell"
"Bampac","$2800","$0","$2800","Jarome Bell"
"Black America's PAC","$2800","$2800","$0","Jarome Bell"
"Virginia Conservative Leadership Fund","$2500","$2500","$0","Jarome Bell"
"Pencor Services","$2150","$0","$2150","Jarome Bell"
"Freedom First PAC (Meadows)","$2000","$2000","$0","Jarome Bell"
"Good for Congress","$2000","$2000","$0","Jarome Bell"
"It Management","$2000","$0","$2000","Jarome Bell"
"Jnjn Assoc","$1500","$0","$1500","Jarome Bell"
"Tap","$5800","$0","$5800","Leon Benjamin"
"Seed To Table","$5600","$0","$5600","Leon Benjamin"
"Commonwealth of Virginia","$5507","$0","$5507","Leon Benjamin"
"Elbert Guillory's America","$5000","$5000","$0","Leon Benjamin"
"Industrial Advisors","$5000","$0","$5000","Leon Benjamin"
"Wilkie Real Estate Brokerage","$4150","$0","$4150","Leon Benjamin"
"Lenin Peters MD","$2900","$0","$2900","Leon Benjamin"
"River Trading","$2900","$0","$2900","Leon Benjamin"
"Schockey Companies","$2900","$0","$2900","Leon Benjamin"
"Banyan Medical Systems","$2800","$0","$2800","Leon Benjamin"
"Democracy Engine","$232232","$0","$232232","Michael Bennet"
"American Israel Public Affairs Cmte","$75800","$10000","$65800","Michael Bennet"
"University of Colorado","$66087","$0","$66087","Michael Bennet"
"Paul, Weiss et al","$54300","$0","$54300","Michael Bennet"
"Blackstone Group","$53300","$0","$53300","Michael Bennet"
"Votesane PAC","$52500","$0","$52500","Michael Bennet"
"DISH Network","$47450","$0","$47450","Michael Bennet"
"Arnold & Porter Kaye Scholer","$45925","$5000","$40925","Michael Bennet"
"Apollo Global Management","$45500","$0","$45500","Michael Bennet"
"Alphabet Inc","$39025","$0","$39025","Michael Bennet"
"Pape Group","$11600","$0","$11600","Cliff Bentz"
"Eye of the Tiger PAC","$10000","$10000","$0","Cliff Bentz"
"Majority Cmte PAC","$10000","$10000","$0","Cliff Bentz"
"National Assn of Realtors","$10000","$10000","$0","Cliff Bentz"
"National Auto Dealers Assn","$10000","$10000","$0","Cliff Bentz"
"National Cattlemen's Beef Assn","$10000","$10000","$0","Cliff Bentz"
"National Assn of Broadcasters","$9500","$9000","$500","Cliff Bentz"
"American Council of Engineering Cos","$9000","$9000","$0","Cliff Bentz"
"Sierra Pacific Industries","$8800","$0","$8800","Cliff Bentz"
"Roseburg Forest Products","$8700","$0","$8700","Cliff Bentz"
"American Israel Public Affairs Cmte","$33350","$7900","$25450","Ami Bera"
"University of California","$23200","$0","$23200","Ami Bera"
"Blue Cross/Blue Shield","$14500","$14500","$0","Ami Bera"
"Akin, Gump et al","$12250","$4750","$7500","Ami Bera"
"Kleiner, Perkins et al","$11600","$0","$11600","Ami Bera"
"American College of Cardiology","$10500","$10000","$500","Ami Bera"
"American Medical Assn","$10250","$10000","$250","Ami Bera"
"American Academy of Orthopaedic Surgeons","$10000","$10000","$0","Ami Bera"
"American Assn for Justice","$10000","$10000","$0","Ami Bera"
"American Assn of Neurological Surgeons","$10000","$10000","$0","Ami Bera"
"K Rowe Investments","$2900","$0","$2900","Matt Berg"
"Procopio, Cory et al","$2900","$0","$2900","Matt Berg"
"Stoneturn Group","$2900","$0","$2900","Matt Berg"
"Sallyport Investments","$2500","$0","$2500","Matt Berg"
"Baylor College of Medicine","$2250","$0","$2250","Matt Berg"
"Balcor","$2000","$0","$2000","Matt Berg"
"Pilko & Assoc","$1500","$0","$1500","Matt Berg"
"Freebird Partners Lp","$1400","$0","$1400","Matt Berg"
"University of St Thomas","$1400","$0","$1400","Matt Berg"
"Rice University","$1250","$0","$1250","Matt Berg"
"Art Moran Buick Gmc","$28362","$0","$28362","John Bergman"
"Charles Schwab Corp","$22833","$0","$22833","John Bergman"
"American Israel Public Affairs Cmte","$21600","$10000","$11600","John Bergman"
"McGuireWoods LLP","$15800","$10000","$5800","John Bergman"
"Zurich","$13855","$0","$13855","John Bergman"
"Total Military Management","$13300","$0","$13300","John Bergman"
"Rock Holdings","$12500","$7500","$5000","John Bergman"
"Duchossois Group","$11600","$0","$11600","John Bergman"
"Immunomedics","$11600","$0","$11600","John Bergman"
"Rich Dad Co","$11600","$0","$11600","John Bergman"
"Louisiana Motor Coach","$8500","$0","$8500","Claston Bernard"
"Gray Insurance Co","$5800","$0","$5800","Claston Bernard"
"ISC Constructors","$5800","$0","$5800","Claston Bernard"
"Conservative Leadership PAC","$5000","$5000","$0","Claston Bernard"
"Elbert Guillory's America","$5000","$5000","$0","Claston Bernard"
"Eye of the Tiger PAC","$5000","$5000","$0","Claston Bernard"
"GatorPAC","$5000","$5000","$0","Claston Bernard"
"Majority Cmte PAC","$5000","$5000","$0","Claston Bernard"
"Depcom Power","$3300","$0","$3300","Claston Bernard"
"Bollinger Enterprises","$2900","$0","$2900","Claston Bernard"
"Votesane PAC","$111500","$0","$111500","Jaime Herrera Beutler"
"American Israel Public Affairs Cmte","$40550","$10000","$30550","Jaime Herrera Beutler"
"DaVita Inc","$29360","$6000","$23360","Jaime Herrera Beutler"
"Blue Cross/Blue Shield","$23150","$19000","$4150","Jaime Herrera Beutler"
"Goodman Real Estate (Washington)","$17400","$0","$17400","Jaime Herrera Beutler"
"Winning for Women","$17400","$0","$17400","Jaime Herrera Beutler"
"Weyerhaeuser Co","$15300","$10000","$5300","Jaime Herrera Beutler"
"Fisher Investments","$14850","$0","$14850","Jaime Herrera Beutler"
"American Superconductor","$14600","$0","$14600","Jaime Herrera Beutler"
"Blackstone Group","$14500","$0","$14500","Jaime Herrera Beutler"
"Democracy Engine","$72400","$0","$72400","Don Beyer"
"Motley Rice LLC","$23000","$0","$23000","Don Beyer"
"McLarty Assoc","$12200","$0","$12200","Don Beyer"
"AMS Group","$11600","$0","$11600","Don Beyer"
"Executive Affiliates Inc","$11600","$0","$11600","Don Beyer"
"Strategic Analysis Inc","$11600","$0","$11600","Don Beyer"
"Buchanan, Ingersoll & Rooney","$11500","$0","$11500","Don Beyer"
"S&P Global","$11200","$0","$11200","Don Beyer"
"Deloitte LLP","$11000","$10000","$1000","Don Beyer"
"Welsh, Carson et al","$10900","$0","$10900","Don Beyer"
"American Israel Public Affairs Cmte","$23400","$10000","$13400","Stephanie Bice"
"Aviation Training Consulting LLC","$17400","$0","$17400","Stephanie Bice"
"Ovintiv Inc","$15000","$7500","$7500","Stephanie Bice"
"Devon Energy","$12100","$0","$12100","Stephanie Bice"
"Affiliated Managers Group","$11600","$0","$11600","Stephanie Bice"
"Dimensional Fund Advisors","$11600","$0","$11600","Stephanie Bice"
"Fisher Investments","$11600","$0","$11600","Stephanie Bice"
"Marcus Foundation","$11600","$0","$11600","Stephanie Bice"
"Nucor Corp","$11600","$0","$11600","Stephanie Bice"
"Silver Star Construction","$11600","$0","$11600","Stephanie Bice"
"House Freedom Fund","$42100","$10000","$32100","Andy Biggs"
"American Israel Public Affairs Cmte","$23500","$10000","$13500","Andy Biggs"
"Bill Luke Chrysler/Jeep/Dodge","$11600","$0","$11600","Andy Biggs"
"21st Century Healthcare","$5800","$0","$5800","Andy Biggs"
"Charter One","$5800","$0","$5800","Andy Biggs"
"Farnsworth Realty","$5800","$0","$5800","Andy Biggs"
"Gray Assoc","$5800","$0","$5800","Andy Biggs"
"Pascua Yaqui Tribe","$5800","$0","$5800","Andy Biggs"
"Pollack Real Estate","$5800","$0","$5800","Andy Biggs"
"Strongmind","$5800","$0","$5800","Andy Biggs"
"Igas Usa","$22600","$0","$22600","Gus Bilirakis"
"Blue Cross/Blue Shield","$13000","$13000","$0","Gus Bilirakis"
"Lincare","$13000","$0","$13000","Gus Bilirakis"
"Harborlight Holdings LLC","$11600","$0","$11600","Gus Bilirakis"
"Nwtc","$11200","$0","$11200","Gus Bilirakis"
"Sawyer Products","$11200","$0","$11200","Gus Bilirakis"
"Pfizer Inc","$10400","$10400","$0","Gus Bilirakis"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Gus Bilirakis"
"American Physical Therapy Assn","$10000","$10000","$0","Gus Bilirakis"
"AT&T Inc","$10000","$10000","$0","Gus Bilirakis"
"KBR Inc","$250","$0","$250","Mike Billand"
"Friends Of Kirby Birgans","$74","$0","$74","Kirby Birgans"
"Woodland Mdm","$3000","$0","$3000","Christine Bish"
"Aa Music Events","$2900","$0","$2900","Christine Bish"
"Devcon Construction","$2900","$0","$2900","Christine Bish"
"Hm Marketing","$2900","$0","$2900","Christine Bish"
"Morning Star Co","$2900","$0","$2900","Christine Bish"
"Spencer Enterprises","$2900","$0","$2900","Christine Bish"
"Sub Teacher","$2900","$0","$2900","Christine Bish"
"Icon Real","$2000","$0","$2000","Christine Bish"
