Party,Name,Additional Party
Republican,Joe Pinion,Conservative Party
Republican,Jo Rae Perkins,Constitution Party
Democratic,Richard Blumenthal,Working Families Party
Democratic,Chuck Schumer,Working Families Party
Democratic,Ron Wyden,Independent Party
Democratic,Will Boyd,NA
Democratic,Patricia Chesbro,NA
Democratic,Mark Kelly,NA
Democratic,Natalie James,NA
Democratic,Alex Padilla,NA
Democratic,Michael Bennet,NA
Democratic,Val Demings,NA
Democratic,Raphael Warnock,NA
Democratic,Brian E. Schatz,NA
Democratic,David Roth,NA
Democratic,Tammy Duckworth,NA
Democratic,Thomas McDermott Jr.,NA
Democratic,Michael Franken,NA
Democratic,Mark R. Holland,NA
Democratic,Charles Booker,NA
Democratic,Scottie Griffin,NA
Democratic,Chris Van Hollen,NA
Democratic,Trudy Busch Valentine,NA
Democratic,Catherine Cortez Masto,NA
Democratic,Maggie Hassan,NA
Democratic,Cheri Beasley,NA
Democratic,Katrina Christiansen,NA
Democratic,Tim Ryan,NA
Democratic,Kendra Horn,NA
Democratic,Madison Horn,NA
Democratic,John Fetterman,NA
Democratic,Krystle Matthews,NA
Democratic,Brian Bengs,NA
Democratic,Peter Welch,NA
Democratic,Patty Murray,NA
Democratic,Mandela Barnes,NA
Independent,Laird Fetzer Hamblin,NA
Independent,Evan McMullin,NA
Independent,Michael Seguin,NA
Independent,Joe Stephens,NA
Independent,Lester Ralph Maul Jr.,NA
Independent,Richard Gant,NA
Independent,James Garner,NA
Independent,Scott Cleveland,NA
Independent,Lowell Seida,NA
Independent,Connor VlaKancic,NA
Independent,Phillip Beachy,NA
Independent,Haneefah Khaaliq,NA
Independent,Danny Niederberger,NA
Independent,Charles Lee Thomason,NA
Independent,Billy Ray Wilson,NA
Independent,Andrew Wildman,NA
Independent,Theodis Brown Sr.,NA
Independent,Steve Price,NA
Independent,Barry Lindemann,NA
Independent,Tejasinha Sivalingam,NA
Independent,Michelle Lewis,NA
Independent,Rick Becker,NA
Independent,Stephen Faris,NA
Independent,LaShondra Tinsley,NA
Independent,Michael Delaney,NA
Independent,Ray Woods,NA
Independent,Quincy Magee,NA
Independent,Mark Coester,NA
Independent,Cris Ericson,NA
Independent,Kerry Patrick Raheb,NA
Libertarian Party,John Sophocleus,NA
Approval Voting Party,Frank Atwood,NA
No Party Affiliation,Uloma Ekpete,NA
No Party Affiliation,Steven B. Grant,NA
No Party Affiliation,Howard Knepper,NA
Libertarian Party,Dennis Misigoy,NA
No Party Affiliation,Tuan Nguyen,NA
No Party Affiliation,Moses Quiles,NA
Libertarian Party,Chase Oliver,NA
Libertarian Party,Feena Bonoan,NA
Aloha Aina Party,Dan Decker,NA
Green Party,Emma Pohlman,NA
Libertarian Party,David Graham,NA
LaRouche,Diane Sare,NA
Progressive Party,Chris Henry,NA
Pacific Green Party,Dan Pulju,NA
Independent American Party,Jesse Harper,NA
Libertarian Party,Tamara Lesnar,NA
Libertarian Party,James Arthur Hansen,NA
Independent American Party of Utah,Tommy Williams,NA
American Independent Party,Scott Aubart,NA
Logic Party,Adam Nicholas Paul,NA
Nonpartisan,Ted Gianoutsos,NA
Nonpartisan,Shoshana Gungurstein,NA
Nonpartisan,Sid Hill,NA
Libertarian Party,Marc Victor,NA
Libertarian Party,Kenneth Cates,NA
Constitution Party,Ray Writz,NA
Libertarian Party,Bill Redpath,NA
Libertarian Party,James Sceniak,NA
Libertarian Party,Jonathan Dine,NA
Constitution Party,Paul Venable,NA
Libertarian Party,Jeremy Kauffman,NA
Libertarian Party,Shannon Bray,NA
Green Party,Matthew Hoh,NA
Libertarian Party,Kenneth Blevins,NA
Libertarian Party,Robert Murphy,NA
Libertarian Party,Erik Chase Gerhardt,NA
Constitution Party,Ronald Johnson,NA
Republican,Mike Lee,NA
Republican,Katie Britt,NA
Republican,Buzz Kelley,NA
Republican,Lisa Murkowski,NA
Republican,Kelly Tshibaka,NA
Republican,Edward Davida,NA
Republican,Blake Masters,NA
Republican,John Boozman,NA
Republican,Mark Meuser,NA
Republican,Joe O'Dea,NA
Republican,Leora Levy,NA
Republican,Marco Rubio,NA
Republican,Herschel Walker,NA
Republican,Bob McDermott,NA
Republican,Mike Crapo,NA
Republican,Kathy Salvi,NA
Republican,Todd C. Young,NA
Republican,Chuck Grassley,NA
Republican,Jerry Moran,NA
Republican,Rand Paul,NA
Republican,Chris Chaffee,NA
Republican,Eric Schmitt,NA
Republican,Adam Laxalt,NA
Republican,Don Bolduc,NA
Republican,Ted Budd,NA
Republican,John Hoeven,NA
Republican,J.D. Vance,NA
Republican,James Lankford,NA
Republican,Markwayne Mullin,NA
Republican,Mehmet Oz,NA
Republican,Tim Scott,NA
Republican,John Thune,NA
Republican,Gerald Malloy,NA
Republican,Tiffany Smiley,NA
Republican,Ronald Harold Johnson,NA